,YEAR,SEX,AGE_GROUP,deaths,rate
140,1982,Females,35–39,2.0,0.4
141,1982,Females,40–44,3.0,0.7
142,1982,Females,45–49,0.0,0.0
143,1982,Females,50–54,1.0,0.3
144,1982,Females,55–59,2.0,0.5
145,1982,Females,60–64,3.0,0.9
146,1982,Females,65–69,3.0,1.0
147,1982,Females,70–74,3.0,1.3
148,1982,Females,75–79,0.0,0.0
149,1982,Females,80–84,1.0,1.0
150,1982,Females,85+,0.0,0.0
151,1983,Males,0–4,66.0,11.0
152,1983,Males,5–9,17.0,2.7
153,1983,Males,10–14,3.0,0.4
154,1983,Males,15–19,16.0,2.4
155,1983,Males,20–24,20.0,2.9
156,1983,Males,25–29,21.0,3.3
157,1983,Males,30–34,22.0,3.5
158,1983,Males,35–39,12.0,2.1
159,1983,Males,40–44,9.0,2.0
160,1983,Males,45–49,14.0,3.6
161,1983,Males,50–54,13.0,3.4
162,1983,Males,55–59,17.0,4.5
163,1983,Males,60–64,6.0,1.9
164,1983,Males,65–69,4.0,1.6
165,1983,Males,70–74,9.0,4.7
166,1983,Males,75–79,6.0,5.2
167,1983,Males,80–84,3.0,5.2
168,1983,Males,85+,0.0,0.0
169,1983,Males,Missing,1.0,
170,1983,Females,0–4,35.0,6.1
171,1983,Females,5–9,2.0,0.3
172,1983,Females,10–14,1.0,0.1
173,1983,Females,15–19,4.0,0.6
174,1983,Females,20–24,1.0,0.2
175,1983,Females,25–29,4.0,0.6
176,1983,Females,30–34,3.0,0.5
177,1983,Females,35–39,2.0,0.4
178,1983,Females,40–44,1.0,0.2
179,1983,Females,45–49,3.0,0.8
180,1983,Females,50–54,4.0,1.1
181,1983,Females,55–59,2.0,0.5
182,1983,Females,60–64,2.0,0.6
183,1983,Females,65–69,2.0,0.7
184,1983,Females,70–74,1.0,0.4
185,1983,Females,75–79,0.0,0.0
186,1983,Females,80–84,1.0,0.9
187,1983,Females,85+,1.0,1.2
188,1983,Females,Missing,0.0,
189,1984,Males,0–4,42.0,6.9
190,1984,Males,5–9,12.0,2.0
191,1984,Males,10–14,10.0,1.4
192,1984,Males,15–19,17.0,2.6
193,1984,Males,20–24,21.0,3.1
194,1984,Males,25–29,18.0,2.8
195,1984,Males,30–34,14.0,2.2
196,1984,Males,35–39,12.0,2.0
197,1984,Males,40–44,8.0,1.7
198,1984,Males,45–49,8.0,2.0
199,1984,Males,50–54,9.0,2.4
200,1984,Males,55–59,10.0,2.6
201,1984,Males,60–64,13.0,3.9
